repeat,fold,source,session,game,composition_id
0,3,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game1,16
0,3,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,game2,16
0,3,Ego4D,64076f60-f3fc-4ee6-93e1-3489d8ec7b12,game3,16
0,3,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game4,7
0,3,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game5,7
0,3,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game6,7
0,3,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game7,7
0,3,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game8,7
0,3,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,game9,7
0,3,Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,game1,7
0,3,Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,game2,7
0,3,Ego4D,698f6bbe-4347-4a06-bd5d-3482f5e4fbbe,game3,7
0,0,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game10,4
0,0,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game11,4
0,0,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game6,4
0,0,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game7,4
0,0,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game8,4
0,0,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,game9,4
0,0,Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game1,4
0,0,Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game2,4
0,0,Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game3,4
0,0,Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game4,4
0,0,Ego4D,324bccd2-adff-4e9a-8ff4-03491e144ac3,game5,4
0,1,Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game10,14
0,1,Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game6,14
0,1,Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game7,14
0,1,Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game8,14
0,1,Ego4D,2ba4023c-a8bf-43ad-ad5a-80ba222ce990,game9,14
0,4,Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game1,3
0,4,Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game2,3
0,4,Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game3,3
0,4,Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game4,3
0,4,Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game5,3
0,4,Ego4D,3ba069be-60fa-47fc-bd7b-f85bf649a5bd,game6,3
0,4,Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game10,3
0,4,Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game11,3
0,4,Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game12,3
0,4,Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game7,3
0,4,Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game8,3
0,4,Ego4D,62c4bc58-3776-4791-ac30-4c9ca5619503,game9,3
0,2,Youtube,flashback one night ultimate werewolf retro 9,game1,1
0,2,Youtube,flashback one night ultimate werewolf retro 9,game2,1
0,2,Youtube,flashback one night ultimate werewolf retro 9,game3,1
0,2,Youtube,flashback one night ultimate werewolf retro 9,game4,1
0,2,Youtube,flashback one night ultimate werewolf retro 9,game5,1
0,2,Youtube,visions from 2016 one night ultimate werewolf retro 11,game1,1
0,2,Youtube,visions from 2016 one night ultimate werewolf retro 11,game2,1
0,2,Youtube,visions from 2016 one night ultimate werewolf retro 11,game3,1
0,2,Youtube,visions from 2016 one night ultimate werewolf retro 11,game4,1
0,2,Youtube,visions from 2016 one night ultimate werewolf retro 11,game5,1
0,2,Youtube,way way back one night ultimate werewolf retro 10,game1,1
0,2,Youtube,way way back one night ultimate werewolf retro 10,game2,1
0,2,Youtube,way way back one night ultimate werewolf retro 10,game3,1
0,2,Youtube,way way back one night ultimate werewolf retro 10,game4,1
0,2,Youtube,way way back one night ultimate werewolf retro 10,game5,1
0,1,Youtube,one night ultimate werewolf retro 1,game1,6
0,1,Youtube,one night ultimate werewolf retro 1,game10,6
0,1,Youtube,one night ultimate werewolf retro 1,game2,6
0,1,Youtube,one night ultimate werewolf retro 1,game3,6
0,1,Youtube,one night ultimate werewolf retro 1,game4,6
0,1,Youtube,one night ultimate werewolf retro 1,game5,6
0,1,Youtube,one night ultimate werewolf retro 1,game6,6
0,1,Youtube,one night ultimate werewolf retro 1,game7,6
0,1,Youtube,one night ultimate werewolf retro 1,game8,6
0,1,Youtube,one night ultimate werewolf retro 1,game9,6
0,3,Youtube,one night ultimate werewolf retro 2,game1,9
0,3,Youtube,one night ultimate werewolf retro 2,game2,9
0,3,Youtube,one night ultimate werewolf retro 2,game3,9
0,3,Youtube,one night ultimate werewolf retro 2,game4,9
0,3,Youtube,one night ultimate werewolf retro 2,game5,9
