boot_iter,voter::accusation_rate,voter::defense_rate,voter::interrogation_rate,voter::evidence_rate,voter::identity_declaration_rate,voter::call_for_action_rate,voter::werewolf_accusations_made_rate,voter::deception_accusations_made_rate,voter::werewolf_accusations_received_rate,voter::deception_accusations_received_rate,voter::claims_werewolf_rate,voter::claims_tanner_rate,voter::claims_night_action_role_rate,candidate::accusation_rate,candidate::defense_rate,candidate::interrogation_rate,candidate::evidence_rate,candidate::identity_declaration_rate,candidate::call_for_action_rate,candidate::werewolf_accusations_made_rate,candidate::deception_accusations_made_rate,candidate::werewolf_accusations_received_rate,candidate::deception_accusations_received_rate,candidate::claims_werewolf_rate,candidate::claims_tanner_rate,candidate::claims_night_action_role_rate
0,-0.034250075007769436,0.08252338995314634,0.01820008047802177,0.025876178787437882,-0.021441724855576605,0.029680982369496914,-0.11257532451450962,-0.04652326165723705,0.028220629594063955,-0.01769436260425493,0.0591189912262025,0.028509519500649623,-0.007500007567496353,-0.07813389254872026,-0.003981635379655361,-0.04951381964849101,-0.14041540767786675,0.10643815478290806,0.02711784794709272,-0.04804152261176729,-0.05932453088817191,0.36879622001975987,0.10370635868327364,0.021514219790589647,0.0711705040487214,-0.10123285012436128
1,-0.029962461778178323,0.02611807429780616,-0.012847972164550732,0.01604395518466802,-0.036150732065263036,0.006078846580326033,-0.1252974780007216,-0.056610236167762056,0.03678221381044638,-0.015467238452813573,0.07255727514564039,0.039476809823961685,0.01814904514097004,-0.08632805920261896,0.017889215579578788,-0.04251461547499696,-0.1303557653660742,0.02909100819391465,0.03903244649015425,-0.10553838053576203,0.025519133419187556,0.41419045820331285,0.17291536380904424,0.07864680881363868,0.03142903856134878,-0.02299439944360556
2,-0.021467271166627593,-0.03213199511962018,-0.03536176082555788,0.0032747584267975647,-0.045892962294289484,-0.005244634242771588,-0.15391403581258303,-0.08099121758122863,0.01942235160152277,0.003919158373054556,0.06952700735114076,0.025038119094527977,0.023706929243490542,-0.0333700131513946,0.0444691698576252,0.08385550013480818,-0.10458824762250281,-0.04807496208685547,0.029630174357076496,-0.10032516460712079,-0.0662893150006505,0.508060936082593,0.23397551297457322,0.048588866908894156,0.04111278366306847,0.04217201318373438
3,-0.017587592076585848,0.04149590271032852,0.003977556464573698,0.0260947797721919,-0.028110264297981885,0.034208575480110325,-0.11578248108354537,-0.02499469871710953,0.017130134546293963,0.01353288944097101,0.05629903954638282,0.03067893294219746,0.012725876014619893,-0.022415836008006815,0.013723040364639096,-0.023814416922605084,-0.18461428903349034,-0.07670765981880864,-0.011449288038351766,-0.06895035999343067,-0.00034909670588553424,0.40537222171406695,0.09707137245359598,0.0988219814019572,0.12798351178078826,0.000578072508822554
4,-0.026083016550395268,-0.004181058537996245,-0.005167213670614158,0.03783565203433213,-0.009780533978829147,-0.007640589764878994,-0.13207713397254248,-0.05295595254282957,0.022964299024029956,0.014520724259858203,0.05297495424973992,0.01862542309429143,-0.010081774619328972,-0.05674603975306425,0.041204729905700434,-0.00021972302242355925,-0.11642713992419286,-0.06369660093269337,0.011672515464208437,-0.11365372337352193,-0.009256182044055306,0.4700308813554891,0.1405162522315371,0.09661220861833347,0.04384143764458275,0.1051275454960095
5,-0.02943870273444727,-0.017487580779851613,-0.006404800384052192,-0.0009775104254853527,-0.021284909633864348,-0.004848811235615112,-0.14480748498157855,-0.022824216386827738,0.05739668456347682,0.007419265099050486,0.07919157475867089,0.027438066258255265,-0.014793477043723342,-0.10001518971789523,0.10430104994628296,0.051602842673475126,-0.13664545602925937,0.19668836361181075,0.06730972328949332,-0.17620570356335982,0.022077016523668717,0.4750650775275111,0.06729514989454531,-0.0031852728145980464,-0.00016886555427305812,-0.197337142712555
6,-0.03939643528682323,0.054069375933985704,-0.012196170264667556,0.0401442178644572,-0.028755761864109212,0.042970888613943256,-0.1372568323791515,-0.0385820339385454,0.02483178176483838,0.0024813838686088257,0.04186351489873994,0.03155303682148856,0.01297754070723297,0.024413323599236123,0.031881158712674225,-0.06864289410293972,-0.08159618588314264,-0.06735528215548951,-0.05041154146920444,-0.04700298075346572,-0.10055009942421733,0.4554763898932918,0.12238344675931057,0.11085136968305423,0.14916245248723445,-0.04112406167694499
7,-0.06495361564867695,0.014075578103363365,-0.02748087033546219,0.03715713818058814,-0.03112227100828961,-0.00816166636144919,-0.11273233958587475,-0.03504630389622361,0.042247963973186364,-0.007067520941362134,0.04467220920317453,0.03829937186820515,0.007638446144161379,-0.09818157806091271,-0.003010270752530244,-0.08735097875083878,-0.055352971866729876,-0.03529693804508959,0.07294540936565522,-0.014795697930917125,0.0745816907236401,0.48743479020097347,0.17889487433218873,0.005702348436528352,0.03870911081993042,0.047479035224533346
8,-0.03207311781328736,0.020989334260631543,0.012541287766272906,0.029898053205560635,-0.034759407870456116,0.0009424285475707947,-0.1092668155324734,-0.04323536653850468,0.03673272555162769,-0.00025149956194434725,0.06475071764807175,0.02520575843920451,-0.004915654226192383,-0.12607460872173637,0.03241403008721788,-0.03272461836887463,-0.11718511099707732,0.002555197754968459,0.051348484984838585,-0.00813749465382081,0.029867886598039826,0.423992610087462,0.15771589465218244,0.05254962373814892,-0.005776513095872951,-0.03429854788928268
9,-0.027748414550917387,-0.006035462789663072,-0.026338663432103622,0.03264580539953305,-0.034035214782000174,0.005041758607092885,-0.13178043534855863,-0.07715397005751645,0.04917968183683608,0.010641153370122919,0.022481087569963684,0.021209070838665526,0.0068634135384407855,-0.11799619655269203,0.020816478287050882,-0.0637049694604062,-0.02648780724211877,-0.04816063566523168,0.015741166308658922,-0.07555093941258836,0.03632379684927521,0.4019127748132988,0.24962494400521545,0.05223507435160007,0.10674119289048416,0.05854767396013006
10,-0.03942705107531885,0.05716577442381619,-0.006795530595675658,0.021520712854703423,-0.04464189063959654,0.028779096643485234,-0.13207777636982188,-0.06801881977411396,0.0618248007247522,-0.02836732534655743,0.07936845310812263,0.02870750350228302,0.020891436122679553,-0.08939420951928478,0.06452154763969659,-0.011788193779887985,-0.10587657950633245,0.10584543906888402,-0.007888440364763794,-0.14429097710525904,0.02194010181268516,0.4554802728188472,0.15559399171853602,0.07967966001222347,0.05381281882243405,-0.14588797241683438
11,-0.02894883855884577,0.028447851658416567,0.019181435849140317,0.037197788014164575,-0.017206381562079463,0.005523915444643169,-0.11583385719785422,-0.022682615546141347,0.06318655135919829,-0.008492111813614665,0.06366022486017917,0.01821963916083201,-0.0034679851603050356,-0.03761245260077126,0.01738883585931857,-0.01850843598897615,-0.14716509448185172,0.03248667445819269,0.018448545845969947,-0.13111089157162928,-0.010959133657966262,0.3878981745761643,0.0717930558761613,0.10154305272487422,0.06169688093612849,-0.0026203700372631057
