speaker_end_role,Accusation,Call for Action,Defense,Evidence,Identity Declaration,Interrogation,No Strategy / Empty
Doppelganger,-4.420679269797011,0.36193498140463287,3.024249364122552,-0.1406867816945212,4.312676008813162,-11.786973945709063,9.419608631160429
Mason,-2.8473553294424274,-0.4305976004904002,-6.075198798375979,-0.2815814629203057,0.7139910258379354,2.255529283127382,2.0402497019600077
Drunk,-0.14009379617094098,-3.830277114701415,-7.591602610470101,-0.5135119681071156,0.007235522759584612,0.34779545500897235,4.804861323786774
Hunter,4.613427330589621,2.4021172514957687,-0.690194159765877,-1.9219626723324668,0.7466721424778955,-1.0958665168220154,-3.8571105071991454
Minion,0.5965235227339694,-0.23932767016365997,3.6923189769762104,1.9386798883124925,-1.1905474270688572,1.4975903058859519,-2.851159982929161
Insomniac,0.9753991615755364,0.9595820402281623,-0.9820251456813693,-1.4442161934592272,0.4083622833229654,1.411457426839954,0.09725568998396028
Villager,-0.1579694264731124,-1.2369700486137196,-1.5567898204566202,-1.6664901225972502,2.042376032661939,-1.3246187233451288,3.299286361586283
Tanner,0.41825630443268125,0.23851061165673393,5.418331997175773,-0.48207333631637006,-1.4716377166770345,2.9521717125542413,-5.3466728814446185
Seer,1.2945248446356459,0.818379854435813,2.9299602823696347,0.8718493803112644,-0.8978672248737558,0.32060132483631243,-3.293345402912216
Robber,0.20239159903917958,-0.25572918722966165,1.1541470474541757,1.128861177105053,-1.236035622436197,0.5799972755892302,-0.6221393071073749
Troublemaker,-0.896763520479972,0.5801591218439919,-0.24103036689598767,2.852216892553413,-2.596946867542657,2.8954695180738117,-2.027459891219671
Werewolf,0.3623385793568126,0.6322177601337486,0.9178332335475847,-0.34108480085497916,-0.8382781572749884,1.946846883960335,-1.6633737356651395
