marker,model,provisional_category,possible_categories,category_scores,dominance_share,exact_tie,is_discontinuous,total_occurrences,n_justifications_with_marker,pct_justifications_with_marker,occurrences_per_100_words
and,Gemma 4 4B,Expansion,Expansion | Contingency | Comparison | Temporal,Expansion: 2905 | Contingency: 68 | Comparison: 22 | Temporal: 5,0.9683333333333334,False,False,1777,714,93.45549738219894,2.843245491927871
while,Gemma 4 4B,Comparison,Comparison | Temporal | Expansion,Comparison: 516 | Temporal: 202 | Expansion: 63,0.6606914212548015,False,False,472,454,59.424083769633505,0.7552120833933343
as,Gemma 4 4B,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 522 | Contingency: 214 | Comparison: 5 | Expansion: 2,0.702557200538358,False,False,362,300,39.26701570680628,0.5792092673482776
or,Gemma 4 4B,Expansion,Expansion | Contingency | Comparison,Expansion: 95 | Contingency: 2 | Comparison: 1,0.9693877551020408,False,False,227,203,26.570680628272253,0.3632058112929807
with,Gemma 4 4B,Contingency,Contingency | Expansion,Contingency: 3 | Expansion: 2,0.6,False,False,207,191,25.0,0.33120529928478853
but,Gemma 4 4B,Comparison,Comparison | Expansion | Temporal | Contingency,Comparison: 3215 | Expansion: 90 | Temporal: 2 | Contingency: 1,0.9718863361547763,False,False,132,128,16.75392670157068,0.21120337925406807
however,Gemma 4 4B,Comparison,Comparison | Expansion,Comparison: 483 | Expansion: 2,0.9958762886597938,False,False,120,120,15.706806282722512,0.1920030720491528
also,Gemma 4 4B,Expansion,Expansion | Temporal,Expansion: 1745 | Temporal: 1,0.9994272623138603,False,False,111,111,14.528795811518325,0.17760284164546633
later,Gemma 4 4B,Temporal,Temporal | Expansion,Temporal: 90 | Expansion: 1,0.989010989010989,False,False,103,103,13.481675392670155,0.1648026368421895
since,Gemma 4 4B,Contingency,Contingency | Temporal,Contingency: 96 | Temporal: 88,0.5217391304347826,False,False,86,86,11.2565445026178,0.13760220163522616
although,Gemma 4 4B,Comparison,Comparison | Expansion,Comparison: 327 | Expansion: 1,0.9969512195121951,False,False,76,76,9.947643979057592,0.1216019456311301
if,Gemma 4 4B,Contingency,Contingency | Comparison | Expansion,Contingency: 1174 | Comparison: 48 | Expansion: 1,0.9599345870809485,False,False,76,70,9.162303664921465,0.1216019456311301
then,Gemma 4 4B,Temporal,Temporal | Expansion | Contingency | Comparison,Temporal: 317 | Expansion: 14 | Contingency: 6 | Comparison: 3,0.9323529411764706,False,False,61,57,7.460732984293193,0.097601561624986
ultimately,Gemma 4 4B,Temporal,Temporal | Expansion,Temporal: 14 | Expansion: 4,0.7777777777777778,False,False,25,25,3.2722513089005236,0.04000064001024017
