game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Sukeshi,Sukeshi,Ashley,Elliot,2,False,two_vs_one,Sukeshi | Sukeshi | Ashley,True,True,True,3,different_votes_all_correct
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Tyler,Clint,2,False,two_vs_one,Clint | Clint | Tyler,True,True,True,3,different_votes_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,Justin,Justin,Paul,Paul,2,False,two_vs_one,Justin | Justin | Paul,True,True,True,3,different_votes_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Jordan2,Meryl,Jordan2,Jordan2,2,False,two_vs_one,Jordan2 | Meryl | Jordan2,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Paul,Paul,2,False,two_vs_one,Mitchell | Mitchell | Paul,False,False,False,0,different_votes_all_wrong
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Mike,Justin,Mike,2,False,two_vs_one,Justin | Mike | Justin,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Justin,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Justin | No Werewolf,True,False,True,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,James,James,2,False,two_vs_one,Mitchell | Mitchell | James,True,True,False,2,different_votes_mixed_correctness
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Mike,Mike,Eric,Mike,2,False,two_vs_one,Mike | Mike | Eric,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan,1,True,unanimous,Dylan | Dylan | Dylan,True,True,True,3,same_vote_all_correct
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,Mike,Mike,Mike,1,True,unanimous,Mike | Mike | Mike,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,Alysha,Alysha,Alysha,Alysha,1,True,unanimous,Alysha | Alysha | Alysha,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
