game_id,run_1,run_2,run_3,greedy_t0
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,Erin
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,Sebastian,No Werewolf
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Sukeshi,Sukeshi,Ashley,Elliot
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,Chris,Chris,Chris
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,James,Elliot
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sian,Sukeshi,Sukeshi,Sukeshi
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Elliot,Ashley,James,James
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Sean,Sean,Sean
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Hunter,Hunter,Hunter,Jacob
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,Hunter
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Sean,Sean,Zack,Sean
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Zack,Zack
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Sean,Zack
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,Tyler
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Tyler,Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,No Werewolf,Erin,No Werewolf,Erin
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Erin,Erin,Erin
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,Clint
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,Hunter,Hunter,No Werewolf,No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,Hunter,Hunter,Hunter
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,Sean,Sean
