game_id,run_1,run_2,run_3,greedy_t0,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,agreement_type,greedy_vote,greedy_in_stochastic_vote_set,greedy_matches_stochastic_majority,greedy_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,Hailey,Hailey,True,False,two_vs_one,Hailey,True,True,False
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Ashley,Ashley,Sian,Ashley,True,True,two_vs_one,Sian,False,False,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,No Werewolf,Chris,Chris,Chris,True,True,two_vs_one,Chris,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,James,Elliot,James,James,James,True,False,two_vs_one,James,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian,Sian,True,False,two_vs_one,Sian,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Chris,Chris,James,Chris,Chris,True,True,two_vs_one,Chris,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Hunter,Hunter,No Werewolf,Hunter,True,False,two_vs_one,No Werewolf,False,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,Hunter,Hunter,True,False,unanimous,Hunter,True,True,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,No Werewolf,Hunter,No Werewolf,Hunter,True,False,two_vs_one,No Werewolf,True,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,No Werewolf,Zack,No Werewolf,Zack,No Werewolf,True,False,two_vs_one,Zack,True,False,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Zack,Zack,Zack,True,True,two_vs_one,Zack,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,Tyler,Tyler,True,True,unanimous,Tyler,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,No Werewolf,Clint,Clint,True,True,two_vs_one,Clint,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,Erin,Erin,True,False,unanimous,Erin,True,True,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Erin,Erin,Erin,Erin,Erin,True,False,unanimous,Erin,True,True,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Erin,Erin,Clint,Erin,True,False,two_vs_one,Clint,False,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,No Werewolf,No Werewolf,Hunter,No Werewolf,True,False,two_vs_one,Hunter,True,False,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,No Werewolf,Sean,Jacob,Sean,True,True,two_vs_one,Jacob,False,False,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,Kaelan,No Werewolf,No Werewolf,True,True,two_vs_one,No Werewolf,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Jessica,Jessica,Jessica,Jessica,Jessica,True,True,unanimous,Jessica,True,True,True
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Daniel,No Werewolf,Daniel,Daniel,Daniel,True,False,two_vs_one,Daniel,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Daniel,Daniel,Daniel,Daniel,Daniel,True,False,unanimous,Daniel,True,True,False
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,unanimous,No Werewolf,True,True,False
