model,metric,level,n_games,base_per_100w,derivation_per_100w,delta,ci_low,ci_high,ci_excludes_zero
Gemma 4 2B,All relations,overall,189,3.308633873738484,3.470886274395516,0.16225240065703161,-0.025629323937589443,0.3516435003642399,False
Gemma 4 2B,Comparison,top_level,189,0.9348829160372456,0.9200425794045347,-0.014840336632710893,-0.1028613346912914,0.0714858603588802,False
Gemma 4 2B,Contingency,top_level,189,1.132868792995671,1.2447546262589808,0.11188583326330992,-0.002167294611372481,0.2287144326258504,False
Gemma 4 2B,Expansion,top_level,189,0.9644955386393614,1.023798586914543,0.059303048275181514,-0.07217972420373098,0.1867380017636586,False
Gemma 4 2B,Temporal,top_level,189,0.2763866260662063,0.28229048181745764,0.005903855751251352,-0.0586721466338155,0.0735561699053644,False
Gemma 4 2B,Comparison.Concession,sense,189,0.021698936412140282,0.007697298602706644,-0.014001637809433639,-0.0325476320249765,0.00206372406526707,False
Gemma 4 2B,Comparison.Contrast,sense,189,0.9131839796251052,0.9123452808018282,-0.0008386988232770287,-0.08758499059458812,0.0850859169132465,False
Gemma 4 2B,Contingency.Cause,sense,189,0.9512599147943611,1.0159928171528276,0.06473290235846652,-0.03162044482093711,0.16153280501110973,False
Gemma 4 2B,Contingency.Condition,sense,189,0.18160887820130958,0.22876180910615318,0.0471529309048436,-0.010796531153802556,0.10818881388487289,False
Gemma 4 2B,Expansion.Alternative,sense,189,0.035190776835595454,0.02557874365374077,-0.009612033181854683,-0.03347277831440415,0.01421468194149714,False
Gemma 4 2B,Expansion.Conjunction,sense,189,0.9293047618037659,0.9982198432608022,0.06891508145703629,-0.05779105837216863,0.19139656277850053,False
Gemma 4 2B,Expansion.Restatement,sense,189,0.0,0.0,0.0,0.0,0.0,False
Gemma 4 2B,Temporal.Asynchronous,sense,189,0.18695309249047676,0.2001445278321843,0.013191435341707552,-0.04584759202795913,0.07316170468042761,False
Gemma 4 2B,Temporal.Synchrony,sense,189,0.08943353357572952,0.08214595398527334,-0.007287579590456172,-0.04123965531756711,0.027408957452423,False
